iter	RMSE
316	0.5749541081
317	0.5747781316
318	0.5745975882
319	0.5743895826
320	0.5742924739
321	0.5741581327
322	0.5737997754
323	0.5735835485
324	0.5734386793
325	0.5730836807
326	0.5728608053
327	0.5727822465
328	0.5725257917
329	0.5723367503
330	0.5722076382
331	0.5719942908
332	0.5718396261
333	0.571571204
334	0.5713939041
335	0.5710600672
336	0.5709243713
337	0.5706913765
338	0.5705718943
339	0.5703174795
340	0.5702422052
341	0.5700909149
342	0.569788351
343	0.5696271186
344	0.5694566699
345	0.5693472904
346	0.5692491317
347	0.5691058409
348	0.5689978737
349	0.5687504816
350	0.5686998083
351	0.5685925887
352	0.5684432417
353	0.5683289281
354	0.5681890267
355	0.567924782
356	0.5676516793
357	0.567542809
358	0.5674175322
359	0.5673042485
360	0.5672279352
361	0.5671541465
362	0.5670701648
363	0.5668396898
364	0.5667340974
365	0.5665102121
366	0.5659610864
367	0.5657346068
368	0.5656166829
369	0.5655135173
370	0.5653053052
371	0.5648680778
372	0.5644520867
373	0.5642832015
374	0.5641688076
375	0.563979917
376	0.5638970137
377	0.5637273158
378	0.563650574
379	0.5631713465
380	0.5626633169
381	0.5624073495
382	0.5622856076
383	0.5619276527
384	0.5616725108
385	0.5615082414
386	0.5614377179
387	0.561256308
388	0.560978516
389	0.560868305
390	0.5606345402
391	0.5604924438
392	0.5603319766
393	0.5602363962
394	0.5601522101
395	0.5600546045
396	0.5598896336
397	0.5598247052
398	0.5596571461
399	0.5594674894
400	0.5593750171
401	0.5592440857
402	0.5590742257
403	0.5589682796
404	0.5589101454
405	0.5588196773
406	0.5587608581
407	0.5586768069
408	0.5585541136
409	0.5584500095
410	0.5583355078
411	0.5582407236
412	0.5580991852
413	0.5580259331
414	0.5577880506
415	0.5576427481
416	0.5575456828
417	0.5574670018
418	0.5574038748
419	0.5573425473
420	0.556942428
421	0.5568602259
422	0.5566577692
423	0.5563602156
424	0.5562230175
425	0.5561085087
426	0.5559899854
427	0.5556767366
428	0.5555008764
429	0.5553409769
430	0.5552171273
431	0.5551101288
432	0.5549980408
433	0.5549221707
434	0.5548119301
435	0.5547535397
436	0.5546521875
437	0.5545988715
438	0.5545058545
439	0.5542267939
440	0.5540729033
441	0.5539482468
442	0.5537445811
443	0.5536139445
444	0.5532621462
445	0.5531285442
446	0.5530282869
447	0.5528538283
448	0.5527441863
449	0.5525709785
450	0.5524482715
451	0.5522472759
452	0.5520100551
453	0.5519200411
454	0.5518726002
455	0.5518024399
456	0.5516905
457	0.5515363939
458	0.5514465369
459	0.5511721184
460	0.5510524986
461	0.5509863064
462	0.5506001464
463	0.550486353
464	0.550404648
465	0.5500226709
466	0.5499407159
467	0.5498807903
468	0.5497828011
469	0.549683168
470	0.549616915
471	0.5495301741
472	0.5494353665
473	0.5493470046
474	0.5492819928
475	0.5491486914
476	0.5488037958
477	0.5487211779
478	0.5486777809
479	0.5485385915
480	0.5484002981
481	0.5483011562
482	0.5481687248
483	0.548094275
484	0.5480037319
485	0.5479026335
486	0.5477494764
487	0.5475579885
488	0.5472176935
489	0.5471316232
490	0.5470723935
491	0.546966977
492	0.5469134367
493	0.5465542592
494	0.5464428098
495	0.5462821671
496	0.5462339893
497	0.5461625966
498	0.546025071
499	0.5459455032
500	0.545890467
501	0.5457711109
502	0.5456782808
503	0.5456200407
504	0.5455507295
505	0.5454606207
506	0.545369952
507	0.5452220455
508	0.5451648341
509	0.5451110206
510	0.5450470694
511	0.5449181581
512	0.5448618979
513	0.5447750083
514	0.5446942208
515	0.5445326483
516	0.5444823067
517	0.5444086325
518	0.5443251495
519	0.5442666596
520	0.5441533226
521	0.5440491182
522	0.5439996714
523	0.5439419503
524	0.543855187
525	0.5436185262
526	0.5435768007
527	0.5435342544
528	0.5434843795
529	0.5434370059
530	0.5433982814
531	0.5430506266
532	0.54298701
533	0.5429259613
534	0.542859282
535	0.5427870154
536	0.5424728168
537	0.5423435537
538	0.5422520681
539	0.5421829014
540	0.5421223998
541	0.5420886949
542	0.5418620007
543	0.5417702524
544	0.5415426474
545	0.5414503573
546	0.5413991503
547	0.5413219014
548	0.541274419
549	0.5412130229
550	0.5411446757
551	0.5410546112
552	0.5409561821
553	0.5408748182
554	0.5408132466
555	0.540767891
556	0.540661375
557	0.5405195268
558	0.540422836
559	0.5403780539
560	0.5403234248
561	0.540098639
562	0.5399961364
563	0.539862999
564	0.5397796787
565	0.5397417078
566	0.5396739507
567	0.539617696
568	0.5395805009
569	0.5393059861
570	0.5392154581
571	0.5391411294
572	0.5390892288
573	0.5390261586
574	0.5389740382
575	0.5388765945
576	0.5387242161
577	0.5386348075
578	0.5385202051
579	0.5382236252
580	0.5381688338
581	0.5380395794
582	0.5379679352
583	0.5379165721
584	0.5378745269
585	0.5377016743
586	0.5375962764
587	0.5375316861
588	0.5374886305
589	0.5373755975
590	0.5373366898
591	0.53726234
592	0.537106395
593	0.5370585163
594	0.5367767658
595	0.5367306922
596	0.5366684378
597	0.5364152249
598	0.5362952634
599	0.5361363778
600	0.536064209
601	0.5360347172
602	0.535944603
603	0.5358184627
604	0.5355447603
605	0.5354943418
606	0.5354069577
607	0.5352693146
608	0.5352038125
609	0.5351177753
610	0.5350550354
611	0.5349306129
612	0.5347607917
613	0.5346868329
614	0.5346353126
615	0.5345856003
616	0.5344889013
617	0.5344430378
618	0.5344053648
619	0.5342515532
620	0.5342024799
621	0.5341668014
622	0.5341110905
623	0.5340288621
624	0.533770505
625	0.5337025125
626	0.5336564789
627	0.5336013336
628	0.5335462074
629	0.5335031596
630	0.5334258614
631	0.5333546635
632	0.5332742123
633	0.5332327295
634	0.5331989715
635	0.5331537572
636	0.5331213065
637	0.5330657209
638	0.5330261522
639	0.5329216039
640	0.532811967
641	0.5325616193
642	0.532473265
643	0.5324289319
644	0.5324020758
645	0.5323597496
646	0.5321730149
647	0.5321513221
648	0.5321187932
649	0.5320711901
650	0.5320237646
651	0.5318550195
652	0.5318163629
653	0.5316029833
654	0.5315102845
655	0.5314807126
656	0.5314150609
657	0.5313274559
658	0.531240224
659	0.531216674
660	0.5311442845
661	0.5310808573
662	0.5309312754
663	0.5308797719
664	0.5308176022
665	0.5307249023
666	0.5306801266
667	0.5306551335
668	0.5305973421
669	0.5305263185
670	0.530328944
671	0.5302529164
672	0.530120621
673	0.5300907511
674	0.5300530966
675	0.530004906
676	0.5299427131
677	0.5297192818
678	0.5296616719
679	0.5295764672
680	0.5295196543
681	0.5294837565
682	0.5294465915
683	0.5293435284
684	0.5292760533
685	0.5292272274
686	0.5292025551
687	0.529138996
688	0.5290534763
689	0.52901317
690	0.5289701284
691	0.528915872
692	0.528878538
693	0.528857472
694	0.5288148406
695	0.528766413
696	0.5287184039
697	0.5286447005
698	0.5286006344
699	0.5285614683
700	0.5284784445
701	0.5283056974
702	0.5280799364
703	0.5280546492
704	0.5279829339
705	0.5279437159
706	0.5279075597
707	0.5278795077
708	0.5278566107
709	0.5278055393
710	0.5277673801
711	0.5277116979
712	0.5276468071
713	0.5276102046
714	0.5274844923
715	0.5274457648
716	0.5274060857
717	0.5273565543
718	0.5272189716
719	0.527063711
720	0.5269994789
721	0.5268217835
722	0.5267829372
723	0.5267297356
724	0.5266541524
725	0.5265997188
726	0.5265427018
727	0.5263566509
728	0.526253079
729	0.5262297209
730	0.5261740509
731	0.5261244767
732	0.5260874502
733	0.5260365999
734	0.5260004909
735	0.5259210142
736	0.5257475241
737	0.5257073158
738	0.5256550849
739	0.5256277479
740	0.5256006378
741	0.5255672575
742	0.5255031248
743	0.5253292635
744	0.5252768357
745	0.5252573182
746	0.5252210897
747	0.5251241612
748	0.5250775771
749	0.525047869
750	0.525029341
751	0.524993818
752	0.5248731209
753	0.5248133663
754	0.5247646044
755	0.524569028
756	0.5245070009
757	0.5243189186
758	0.5242714494
759	0.5241438087
760	0.5240652955
761	0.5240188711
762	0.52384987
763	0.523811787
764	0.5237673195
765	0.5237207177
766	0.5236517112
767	0.5235875762
768	0.5235402317
769	0.5234935195
770	0.5234607114
771	0.5234108113
772	0.5233692239
773	0.5233448779
774	0.5232642961
775	0.5231921031
776	0.523121145
777	0.5231032552
778	0.5230080842
779	0.5229776096
780	0.5228728761
781	0.5228361865
782	0.5227918129
783	0.5227455925
784	0.5227117669
785	0.5225994026
786	0.5224871896
787	0.522435453
788	0.522346822
789	0.5222265276
790	0.5222030684
791	0.5221486679
792	0.5220604622
793	0.5220028911
794	0.5219183645
795	0.5218704846
796	0.5218173417
797	0.5217301147
798	0.5215890828
799	0.5215528828
800	0.521445243
801	0.5213548631
802	0.5213096891
803	0.5210185526
804	0.520999463
805	0.5209625338
806	0.5209164271
807	0.5208735547
808	0.5207793166
809	0.5205976259
810	0.5205835428
811	0.5205480202
812	0.5204685226
813	0.5203322481
814	0.5203121615
815	0.5202947895
816	0.5202654465
817	0.5202402592
818	0.5201769746
819	0.5201276914
820	0.5199632446
821	0.5199028361
822	0.5198693026
823	0.5198301605
824	0.5198031447
825	0.5197124339
826	0.5196249755
827	0.5195633324
828	0.5195106541
829	0.5193928995
830	0.5193510945
831	0.5193099875
832	0.5192799137
833	0.5192419075
834	0.519209923
835	0.5191757336
836	0.5191246669
837	0.5190281748
838	0.5189818242
839	0.5188896782
840	0.5188517253
841	0.5188182595
842	0.5187976266
843	0.5187746104
844	0.5187492781
845	0.5187224901
846	0.5186676682
847	0.5186443228
848	0.5185413294
849	0.5185221075
850	0.5184865849
851	0.5184406944
852	0.5182794522
853	0.5182372613
854	0.5181831916
855	0.5181651826
856	0.5181121308
857	0.5180781148
858	0.518047033
859	0.5180162705
860	0.5178709184
861	0.5178158819
862	0.5177312313
863	0.5174965733
864	0.5174779512
865	0.5174502004
866	0.5173749407
867	0.5173369027
868	0.5172879228
869	0.51726563
870	0.5172025381
871	0.5171046129
872	0.5170274128
873	0.5169226189
874	0.5168901683
875	0.5168614972
876	0.516830414
877	0.5168090102
878	0.5166734508
879	0.5166578726
880	0.5165696829
881	0.5165482523
882	0.5165044873
883	0.5164465794
884	0.5163446387
885	0.5163196214
886	0.516284827
887	0.5162610569
888	0.5161391058
889	0.5160881033
890	0.5160502466
891	0.5159830218
892	0.5159491376
893	0.5159110273
894	0.5158477622
895	0.5158224904
896	0.5157610382
897	0.5156941461
898	0.5156435064
899	0.515625361
900	0.5155875127
901	0.5155477586
902	0.5155225423
903	0.5154821068
904	0.5152410522
905	0.5152277678
906	0.5151936317
907	0.5151733394
908	0.515116347
909	0.5150744864
910	0.5150506897
911	0.5150198846
912	0.5149898747
913	0.5149308837
914	0.5148479212
915	0.5148041502
916	0.514784032
917	0.5147560983
918	0.5147172779
919	0.5146530124
920	0.5145812223
921	0.5145334163
922	0.5144927633
923	0.5144615042
924	0.5144379325
925	0.5144056731
926	0.5143525196
927	0.5142775867
928	0.5142291712
929	0.5140762796
930	0.5140492569
931	0.5140112469
932	0.5139761648
933	0.5137514304
934	0.5137333775
935	0.5136203955
936	0.5135512994
937	0.5135110017
938	0.5134631973
939	0.5134054224
940	0.5133522988
941	0.5132853007
942	0.5132658043
943	0.5131779865
944	0.513162737
945	0.5131024006
946	0.5130625754
947	0.5130131234
948	0.5129957148
949	0.5129603893
950	0.5128691783
951	0.5127316109
952	0.5126558334
953	0.5126212252
954	0.512585632
955	0.5125698782
956	0.512546213
957	0.5125071482
958	0.5124454567
959	0.512427014
960	0.5123736942
961	0.5122419098
962	0.5121963473
963	0.5120716335
964	0.5119730713
965	0.5119414466
966	0.5119210257
967	0.5118859433
968	0.5118726965
969	0.5118081298
970	0.511738405
971	0.5117026535
972	0.5115120699
973	0.5114469385
974	0.5114171311
975	0.5113871643
976	0.5113529143
977	0.5112899538
978	0.511253296
979	0.5112097745
980	0.5111882732
981	0.5111645623
982	0.5111411337
983	0.5111234339
984	0.511091874
985	0.5110712647
986	0.5109508425
987	0.5108910787
988	0.5108412705
989	0.5107911485
990	0.5107000614
991	0.5106738709
992	0.5106310935
993	0.5106063498
994	0.5105711152
995	0.5105534511
996	0.5105206899
997	0.5105015434
998	0.5104229745
999	0.5104087538
