iter	Passed	Remaining
176	31892	148292
177	32058	148043
178	32221	147785
179	32390	147558
180	32554	147305
181	32724	147079
182	32902	146891
183	33084	146724
184	33248	146472
185	33421	146262
186	33636	146239
187	33802	145996
188	33980	145808
189	34153	145600
190	34307	145313
191	34488	145140
192	34675	144989
193	34837	144738
194	34992	144457
195	35177	144300
196	35345	144073
197	35512	143841
198	35670	143578
199	35850	143401
200	36024	143200
201	36201	143014
202	36369	142789
203	36534	142557
204	36715	142383
205	36891	142192
206	37068	142007
207	37240	141799
208	37421	141629
209	37599	141444
210	37781	141275
211	37960	141098
212	38134	140902
213	38306	140694
214	38479	140494
215	38657	140313
216	38825	140093
217	39001	139903
218	39172	139698
219	39380	139622
220	39563	139456
221	39738	139263
222	39917	139085
223	40085	138868
224	40264	138690
225	40450	138533
226	40627	138347
227	40801	138151
228	40981	137976
229	41158	137791
230	41338	137616
231	41505	137398
232	41674	137185
233	41836	136950
234	42071	136957
235	42236	136732
236	42411	136541
237	42579	136326
238	42743	136100
239	42915	135900
240	43100	135740
241	43272	135540
242	43448	135350
243	43609	135117
244	43801	134981
245	43992	134839
246	44165	134641
247	44342	134459
248	44533	134315
249	44705	134117
250	44891	133960
251	45050	133722
252	45229	133543
253	45403	133349
254	45577	133158
255	45742	132938
256	45936	132805
257	46140	132697
258	46317	132513
259	46489	132315
260	46688	132194
261	46859	131993
262	47036	131810
263	47214	131629
264	47379	131410
265	47550	131210
266	47729	131032
267	47901	130836
268	48084	130669
269	48241	130430
270	48414	130236
271	48591	130054
272	48747	129813
273	48901	129571
274	49086	129410
275	49256	129209
276	49446	129061
277	49624	128880
278	49809	128718
279	50051	128704
280	50225	128513
281	50406	128339
282	50580	128148
283	50746	127938
284	50925	127760
285	51082	127526
286	51250	127322
287	51415	127109
288	51583	126907
289	51765	126737
290	51951	126576
291	52131	126402
292	52315	126235
293	52490	126047
294	52675	125884
295	52864	125732
296	53045	125558
297	53219	125368
298	53398	125191
299	53601	125070
300	53768	124864
301	53951	124696
302	54139	124538
303	54316	124355
304	54505	124201
305	54669	123988
306	54824	123757
307	55014	123604
308	55219	123483
309	55399	123308
310	55556	123080
311	55720	122870
312	55918	122735
313	56102	122568
314	56299	122429
315	56457	122205
316	56622	121998
317	56807	121831
318	56986	121655
319	57150	121445
320	57307	121219
321	57466	121001
322	57639	120810
323	57791	120577
324	57949	120357
325	58130	120184
326	58328	120047
327	58506	119867
328	58683	119685
329	58862	119508
330	59026	119301
331	59205	119124
332	59375	118930
333	59556	118756
334	59723	118556
335	59897	118367
336	60077	118194
337	60259	118023
338	60439	117847
339	60631	117695
340	60812	117523
341	60980	117324
342	61152	117135
343	61333	116962
344	61520	116800
345	61669	116566
346	61848	116389
347	62032	116221
348	62206	116034
349	62379	115847
350	62547	115650
351	62735	115489
352	62900	115287
353	63076	115105
354	63321	115049
355	63489	114852
356	63664	114667
357	63844	114492
358	64003	114279
359	64167	114075
360	64348	113902
361	64526	113722
362	64693	113526
363	64876	113356
364	65051	113172
365	65221	112978
366	65402	112806
367	65580	112627
368	65760	112453
369	65922	112245
370	66098	112064
371	66296	111919
372	66479	111750
373	66663	111580
374	66855	111425
375	67073	111313
376	67240	111115
377	67446	110983
378	67626	110807
379	67833	110675
380	68025	110519
381	68196	110327
382	68380	110158
383	68565	109990
384	68733	109794
385	68903	109602
386	69076	109415
387	69266	109255
388	69459	109099
389	69640	108925
390	69818	108745
391	69987	108552
392	70140	108334
393	70327	108169
394	70492	107969
395	70670	107790
396	70876	107654
397	71090	107529
398	71285	107375
399	71481	107221
400	71648	107026
401	71838	106864
402	72023	106694
403	72191	106499
404	72380	106337
405	72556	106153
406	72723	105958
407	72894	105768
408	73075	105592
409	73254	105414
410	73436	105240
411	73600	105041
412	73766	104845
413	73934	104651
414	74119	104481
415	74303	104310
416	74469	104114
417	74640	103925
418	74812	103737
419	74974	103536
420	75218	103448
421	75393	103263
422	75583	103100
423	75769	102932
424	75949	102755
425	76125	102573
426	76310	102401
427	76501	102239
428	76706	102096
429	76884	101916
430	77064	101738
431	77232	101546
432	77422	101381
433	77595	101196
434	77773	101016
435	77961	100849
436	78140	100670
437	78316	100488
438	78495	100309
439	78688	100148
440	78866	99969
441	79078	99831
442	79274	99675
443	79430	99467
444	79636	99321
445	79816	99144
446	80013	98987
447	80183	98797
448	80381	98641
449	80578	98484
450	80743	98289
451	80936	98126
452	81112	97943
453	81292	97766
454	81461	97574
455	81651	97409
456	81813	97209
457	82008	97049
458	82198	96882
459	82400	96731
460	82586	96559
461	82755	96369
462	82967	96228
463	83165	96070
464	83340	95886
465	83537	95727
466	83694	95522
467	83853	95320
468	84017	95124
469	84199	94948
470	84372	94761
471	84557	94589
472	84730	94404
473	84920	94236
474	85075	94030
475	85247	93844
476	85424	93662
477	85604	93484
478	85765	93285
479	85945	93108
480	86114	92917
481	86296	92742
482	86484	92572
483	86664	92394
484	86853	92225
485	87073	92090
486	87266	91925
487	87463	91764
488	87659	91603
489	87824	91409
490	87986	91211
491	88154	91020
492	88316	90824
493	88511	90661
494	88653	90444
495	88830	90262
496	89000	90074
497	89168	89884
498	89327	89685
499	89486	89486
500	89656	89298
501	89848	89132
502	90001	88927
503	90160	88729
504	90330	88541
505	90504	88358
506	90687	88183
507	90868	88006
508	91033	87814
509	91198	87622
510	91383	87448
511	91568	87275
512	91767	87116
513	92045	87031
514	92204	86833
515	92388	86658
516	92593	86504
517	92785	86337
518	92967	86161
519	93163	85996
520	93353	85827
521	93531	85647
522	93710	85468
523	93892	85291
524	94102	85140
525	94293	84971
526	94469	84789
527	94652	84613
528	94819	84423
529	94995	84241
530	95150	84040
531	95338	83869
532	95498	83672
533	95683	83498
534	95859	83317
535	96038	83137
536	96225	82965
537	96371	82757
538	96543	82572
539	96715	82387
540	96872	82189
541	97047	82006
542	97243	81841
543	97461	81695
544	97631	81508
545	97832	81347
546	98004	81162
547	98198	80995
548	98394	80830
549	98559	80639
550	98743	80464
551	98932	80293
552	99110	80112
553	99304	79945
554	99475	79759
555	99643	79571
556	99837	79404
557	100035	79239
558	100260	79096
559	100454	78928
560	100646	78758
561	100825	78578
562	101012	78405
563	101208	78239
564	101368	78045
565	101551	77867
566	101720	77680
567	101902	77503
568	102107	77343
569	102303	77176
570	102500	77010
571	102697	76843
572	102867	76656
573	103038	76471
574	103213	76288
575	103386	76104
576	103570	75927
577	103746	75745
578	103897	75545
579	104096	75380
580	104281	75205
581	104463	75027
582	104640	74845
583	104796	74649
584	104995	74483
585	105189	74315
586	105373	74138
587	105543	73952
588	105718	73769
589	105890	73584
590	106058	73397
591	106273	73242
592	106466	73072
593	106641	72889
594	106836	72720
595	106996	72527
596	107201	72365
597	107394	72195
598	107555	72003
599	107753	71835
600	107918	71646
601	108085	71458
602	108259	71275
603	108444	71099
604	108636	70927
605	108826	70755
606	108993	70567
607	109203	70407
608	109460	70277
609	109665	70113
610	109846	69935
611	110023	69753
612	110221	69585
613	110467	69446
614	110646	69266
615	110845	69098
616	111038	68926
617	111207	68739
618	111388	68560
619	111587	68392
620	111763	68210
621	111927	68019
622	112098	67835
623	112296	67666
624	112489	67493
625	112662	67309
626	112860	67140
627	113041	66960
628	113219	66779
629	113385	66591
630	113553	66404
631	113706	66208
632	113882	66026
633	114077	65855
634	114242	65667
635	114477	65518
636	114665	65343
637	114841	65161
638	115039	64991
639	115223	64812
640	115404	64633
641	115587	64455
642	115769	64276
643	115965	64105
644	116134	63919
645	116298	63729
646	116484	63553
647	116651	63366
648	116840	63191
649	117002	63001
650	117168	62813
651	117355	62637
652	117518	62448
653	117712	62275
654	117911	62106
655	118080	61920
656	118246	61732
657	118412	61545
658	118630	61385
659	118824	61212
660	118986	61023
661	119175	60847
662	119364	60672
663	119529	60484
664	119701	60300
665	119881	60120
666	120047	59933
667	120215	59747
668	120407	59574
669	120597	59398
670	120798	59229
671	120983	59051
672	121163	58871
673	121342	58690
674	121505	58502
675	121685	58322
676	121869	58144
677	122068	57973
678	122239	57789
679	122420	57609
680	122568	57414
681	122733	57227
682	122898	57040
683	123088	56865
684	123267	56684
685	123491	56525
686	123669	56344
687	123868	56173
688	124053	55995
689	124220	55809
690	124401	55629
691	124565	55442
692	124744	55262
693	124941	55089
694	125159	54926
695	125338	54745
696	125525	54568
697	125694	54383
698	125858	54196
699	126009	54004
700	126190	53824
701	126360	53640
702	126540	53460
703	126704	53273
704	126899	53099
705	127079	52919
706	127244	52733
707	127416	52550
708	127575	52361
709	127753	52181
710	127924	51997
711	128122	51824
712	128291	51640
713	128471	51460
714	128639	51275
715	128857	51111
716	129032	50929
717	129196	50742
718	129393	50569
719	129564	50386
720	129727	50199
721	129927	50027
722	130102	49845
723	130283	49666
724	130464	49486
725	130651	49309
726	130813	49122
727	130995	48943
728	131181	48765
729	131356	48583
730	131561	48413
731	131737	48231
732	131915	48050
733	132074	47863
734	132253	47683
735	132438	47505
736	132605	47320
737	132789	47141
738	132951	46955
739	133119	46771
740	133332	46603
741	133507	46421
742	133702	46246
743	133883	46067
744	134067	45888
745	134217	45698
746	134382	45513
747	134571	45337
748	134753	45157
749	134928	44976
750	135113	44797
751	135295	44618
752	135490	44443
753	135683	44268
754	135871	44090
755	136057	43912
756	136256	43738
757	136436	43558
758	136611	43377
759	136787	43196
760	136985	43021
761	137182	42847
762	137357	42665
763	137537	42485
764	137694	42298
765	137865	42115
766	138052	41937
767	138225	41755
768	138405	41575
769	138570	41391
770	138778	41219
771	138951	41037
772	139121	40854
773	139287	40670
774	139498	40499
775	139675	40318
776	139854	40138
777	140022	39954
778	140221	39780
779	140414	39603
780	140615	39430
781	140801	39251
782	141006	39078
783	141242	38913
784	141424	38734
785	141609	38555
786	141781	38372
787	141962	38192
788	142166	38019
789	142334	37835
790	142517	37656
791	142680	37471
792	142864	37292
793	143059	37116
794	143219	36930
795	143376	36744
796	143555	36564
797	143744	36386
798	143924	36206
799	144104	36026
800	144306	35851
801	144487	35671
802	144673	35492
803	144893	35322
804	145050	35136
805	145247	34960
806	145476	34791
807	145671	34615
808	145853	34435
809	146036	34255
810	146217	34075
811	146383	33891
812	146582	33715
813	146791	33542
814	146948	33356
815	147115	33173
816	147303	32994
817	147467	32810
818	147652	32631
819	147845	32453
820	148028	32274
821	148205	32093
822	148380	31911
823	148536	31726
824	148723	31547
825	148901	31366
826	149095	31189
827	149290	31012
828	149448	30827
829	149637	30648
830	149830	30471
831	150001	30288
832	150180	30108
833	150372	29930
834	150560	29751
835	150738	29570
836	150937	29394
837	151178	29225
838	151359	29045
839	151533	28863
840	151726	28685
841	151897	28503
842	152057	28319
843	152219	28135
844	152388	27952
845	152556	27770
846	152738	27590
847	152920	27410
848	153114	27232
849	153280	27049
850	153467	26870
851	153636	26688
852	153820	26508
853	153995	26327
854	154196	26150
855	154379	25970
856	154554	25789
857	154719	25606
858	154896	25425
859	155049	25240
860	155257	25064
861	155411	24880
862	155585	24698
863	155764	24518
864	155945	24338
865	156129	24158
866	156285	23974
867	156445	23791
868	156641	23613
869	156806	23430
870	156965	23247
871	157150	23068
872	157320	22886
873	157516	22708
874	157676	22525
875	157842	22342
876	158005	22160
877	158205	21982
878	158374	21801
879	158540	21619
880	158735	21441
881	158914	21260
882	159121	21084
883	159328	20907
884	159540	20731
885	159757	20555
886	159972	20379
887	160162	20200
888	160374	20024
889	160550	19843
890	160707	19660
891	160962	19488
892	161151	19309
893	161348	19130
894	161537	18951
895	161722	18771
896	161891	18589
897	162059	18407
898	162225	18225
899	162397	18044
900	162557	17861
901	162734	17680
902	162920	17500
903	163094	17319
904	163301	17142
905	163465	16960
906	163629	16777
907	163797	16596
908	163982	16416
909	164157	16235
910	164326	16053
911	164505	15873
912	164681	15692
913	164862	15512
914	165038	15331
915	165280	15156
916	165447	14975
917	165610	14793
918	165799	14613
919	165962	14431
920	166161	14252
921	166333	14071
922	166503	13890
923	166682	13709
924	166871	13530
925	167040	13348
926	167224	13168
927	167413	12988
928	167569	12806
929	167742	12625
930	167937	12446
931	168130	12267
932	168330	12088
933	168533	11909
934	168702	11727
935	168898	11548
936	169107	11370
937	169276	11188
938	169434	11006
939	169601	10825
940	169770	10644
941	169957	10464
942	170119	10282
943	170314	10103
944	170474	9921
945	170632	9740
946	170815	9559
947	170999	9379
948	171167	9198
949	171360	9018
950	171560	8839
951	171742	8659
952	171929	8479
953	172087	8297
954	172252	8116
955	172434	7936
956	172621	7756
957	172791	7575
958	172962	7394
959	173161	7215
960	173381	7036
961	173558	6855
962	173741	6675
963	173913	6494
964	174089	6314
965	174279	6134
966	174448	5953
967	174627	5772
968	174786	5591
969	174974	5411
970	175140	5230
971	175309	5050
972	175518	4870
973	175705	4690
974	175908	4510
975	176108	4330
976	176272	4149
977	176450	3969
978	176601	3788
979	176787	3607
980	176962	3427
981	177159	3247
982	177358	3067
983	177525	2886
984	177703	2706
985	177891	2525
986	178075	2345
987	178232	2164
988	178419	1984
989	178602	1804
990	178803	1623
991	178953	1443
992	179144	1262
993	179317	1082
994	179506	902
995	179671	721
996	179823	541
997	179982	360
998	180184	180
999	180369	0
